     5
  3    .084    .140   -.546    .140
  4    .058    .074   -.041    .140
  5  26.986  32.933 -18.576   -.106
  6 -26.349 -32.146  18.413    .106
     7
  1   4.066   -.741   -.908    .140
  2  -2.214    .349    .573    .140
  3    .198    .411   1.525    .140
  4    .181    .171    .651    .140
  5    .395   -.061   -.088    .140
  6  44.327  -6.772 -10.964   -.106
  7 -43.614   6.663  10.796    .106
     6
  1   4.404   2.452  -1.652    .140
  2  -3.325   -.654   1.676    .000
  3   -.065   -.591   -.859    .140
  4  -2.332  -1.310    .924    .140
  5  38.799  21.052 -14.836    .106
  6 -35.100 -20.309  13.058   -.106
